rho_within_stratum,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,p_cluster_permutation,num_unique_queries,num_reformulation_rows,bootstrap_iterations,permutation_iterations,cluster_unit,strata,retention_signal,metric_delta,p_holm_12,significant_holm_0.05
0.032223089657856,-0.0288522696030935,0.0931448409784537,0.3104689531046895,200,1200,10000,10000,query_id within task,generator × query_type × task,combined_anchor_retention_v3,delta_Recall@10,0.8657134286571344,False
0.1790027016042896,0.1155544492299239,0.2418128109717768,9.999000099990002e-05,200,1200,10000,10000,query_id within task,generator × query_type × task,combined_anchor_retention_v3,delta_Recall@100,0.0011998800119988,True
0.0455487128548713,-0.0128187817546885,0.1058869958439516,0.1488851114888511,200,1200,10000,10000,query_id within task,generator × query_type × task,combined_anchor_retention_v3,delta_MRR@10,0.8657134286571344,False
0.023531985780929,-0.0308809250931888,0.0787947746722177,0.4645535446455354,200,1200,10000,10000,query_id within task,generator × query_type × task,combined_anchor_retention_v3,delta_nDCG@10,0.8657134286571344,False
0.0501636018793136,-0.0201749555019047,0.1196523333269239,0.148985101489851,181,1086,10000,10000,query_id within task,generator × query_type × task,path_anchor_retention_v3,delta_Recall@10,0.8657134286571344,False
0.1972348427280191,0.1230373511927593,0.2683074806090023,9.999000099990002e-05,181,1086,10000,10000,query_id within task,generator × query_type × task,path_anchor_retention_v3,delta_Recall@100,0.0011998800119988,True
0.0612485836936993,-0.0029522763779813,0.1271968908075926,0.0741925807419258,181,1086,10000,10000,query_id within task,generator × query_type × task,path_anchor_retention_v3,delta_MRR@10,0.5935406459354065,False
0.0406610676590473,-0.0233599073236477,0.1062581030832353,0.2250774922507749,181,1086,10000,10000,query_id within task,generator × query_type × task,path_anchor_retention_v3,delta_nDCG@10,0.8657134286571344,False
0.0543098899116436,-0.0012869644428907,0.1095954657716352,0.0784921507849215,200,1200,10000,10000,query_id within task,generator × query_type × task,entity_anchor_retention_v3,delta_Recall@10,0.5935406459354065,False
0.1914802766242426,0.1344310760874438,0.2494206092512771,9.999000099990002e-05,200,1200,10000,10000,query_id within task,generator × query_type × task,entity_anchor_retention_v3,delta_Recall@100,0.0011998800119988,True
0.0652301373708191,0.010394752244732,0.1199698268102276,0.0331966803319668,200,1200,10000,10000,query_id within task,generator × query_type × task,entity_anchor_retention_v3,delta_MRR@10,0.2987701229877012,False
0.0441797239317477,-0.0094387761894319,0.0964841172840871,0.1442855714428557,200,1200,10000,10000,query_id within task,generator × query_type × task,entity_anchor_retention_v3,delta_nDCG@10,0.8657134286571344,False
