generator,query_type,task,retention_signal,metric_delta,spearman_rho,ci95_low_query_bootstrap,ci95_high_query_bootstrap,p_raw_permutation,num_queries,bootstrap_iterations,permutation_iterations,p_holm_24,significant_holm_0.05
deepseek,hyde_style,contractnli,combined_anchor_retention_v3,delta_Recall@100,0.2851771285638667,0.0642898782938531,0.4578811610731512,0.0355964403559644,50,10000,10000,0.4271572842715728,False
deepseek,hyde_style,cuad,combined_anchor_retention_v3,delta_Recall@100,0.4672684130357841,0.2131857720519696,0.6779988347763353,0.0010998900109989,50,10000,10000,0.0175982401759824,True
deepseek,hyde_style,maud,combined_anchor_retention_v3,delta_Recall@100,0.4032553628226817,0.1358311556434176,0.6207397604309461,0.0042995700429957,50,10000,10000,0.0644935506449355,False
deepseek,hyde_style,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,0.3919363349926484,0.1047189521713576,0.6273034873468241,0.0058994100589941,50,10000,10000,0.0783921607839216,False
deepseek,keyword_expansion,contractnli,combined_anchor_retention_v3,delta_Recall@100,0.2501383673526118,-0.0723822310331462,0.5559769189983366,0.0477952204779522,50,10000,10000,0.5257474252574743,False
deepseek,keyword_expansion,cuad,combined_anchor_retention_v3,delta_Recall@100,0.1874902897201793,-0.0572357342586841,0.4225669256976647,0.1920807919208079,50,10000,10000,1.0,False
deepseek,keyword_expansion,maud,combined_anchor_retention_v3,delta_Recall@100,0.164535696200872,-0.1322917233420634,0.4373911749145823,0.2674732526747325,50,10000,10000,1.0,False
deepseek,keyword_expansion,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
deepseek,legal_rewrite,contractnli,combined_anchor_retention_v3,delta_Recall@100,0.6115033595996272,0.3425087312972545,0.999791731748236,0.0055994400559944,50,10000,10000,0.0783921607839216,False
deepseek,legal_rewrite,cuad,combined_anchor_retention_v3,delta_Recall@100,0.3692143095819404,0.2766082537312314,0.7142857142857142,0.1214878512148785,50,10000,10000,1.0,False
deepseek,legal_rewrite,maud,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
deepseek,legal_rewrite,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,hyde_style,contractnli,combined_anchor_retention_v3,delta_Recall@100,-0.1477917691661314,-0.2922786626574389,-0.121517143006171,0.7229277072292771,50,10000,10000,1.0,False
gpt,hyde_style,cuad,combined_anchor_retention_v3,delta_Recall@100,-0.1374027497207117,-0.3066655379719794,0.0206125145501666,0.398960103989601,50,10000,10000,1.0,False
gpt,hyde_style,maud,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,hyde_style,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,0.2231334868488255,0.2029852891207032,0.4147032353238011,0.1210878912108789,50,10000,10000,1.0,False
gpt,keyword_expansion,contractnli,combined_anchor_retention_v3,delta_Recall@100,-0.1367441902295334,-0.3119907301647043,0.0271189117870657,0.3891610838916108,50,10000,10000,1.0,False
gpt,keyword_expansion,cuad,combined_anchor_retention_v3,delta_Recall@100,0.0382463254772292,-0.1871072347698559,0.2625279157612455,0.7928207179282072,50,10000,10000,1.0,False
gpt,keyword_expansion,maud,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,keyword_expansion,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,0.2473439357356552,-0.1161266929726012,0.537109119582757,0.0898910108989101,50,10000,10000,0.8989101089891011,False
gpt,legal_rewrite,contractnli,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,legal_rewrite,cuad,combined_anchor_retention_v3,delta_Recall@100,0.0,-0.0549229513739034,0.0541688642784513,1.0,50,10000,10000,1.0,False
gpt,legal_rewrite,maud,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,legal_rewrite,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
