rho_within_stratum,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,p_cluster_permutation,num_unique_queries,num_reformulation_rows,bootstrap_iterations,permutation_iterations,cluster_unit,strata,retention_signal,metric_delta,p_holm_12,significant_holm_0.05
0.032223089657856065,-0.02885226960309353,0.09314484097845376,0.3104689531046895,200,1200,10000,10000,query_id within task,generator × query_type × task,combined_anchor_retention_v3,delta_Recall@10,0.8657134286571344,False
0.17900270160428966,0.11555444922992399,0.24181281097177687,9.999000099990002e-05,200,1200,10000,10000,query_id within task,generator × query_type × task,combined_anchor_retention_v3,delta_Recall@100,0.0011998800119988001,True
0.045548712854871394,-0.012818781754688521,0.10588699584395161,0.1488851114888511,200,1200,10000,10000,query_id within task,generator × query_type × task,combined_anchor_retention_v3,delta_MRR@10,0.8657134286571344,False
0.02353198578092906,-0.030880925093188807,0.0787947746722177,0.46455354464553544,200,1200,10000,10000,query_id within task,generator × query_type × task,combined_anchor_retention_v3,delta_nDCG@10,0.8657134286571344,False
0.050163601879313645,-0.020174955501904762,0.11965233332692393,0.148985101489851,181,1086,10000,10000,query_id within task,generator × query_type × task,path_anchor_retention_v3,delta_Recall@10,0.8657134286571344,False
0.19723484272801914,0.12303735119275935,0.2683074806090023,9.999000099990002e-05,181,1086,10000,10000,query_id within task,generator × query_type × task,path_anchor_retention_v3,delta_Recall@100,0.0011998800119988001,True
0.06124858369369937,-0.0029522763779813712,0.12719689080759264,0.0741925807419258,181,1086,10000,10000,query_id within task,generator × query_type × task,path_anchor_retention_v3,delta_MRR@10,0.5935406459354065,False
0.04066106765904735,-0.02335990732364778,0.10625810308323534,0.22507749225077492,181,1086,10000,10000,query_id within task,generator × query_type × task,path_anchor_retention_v3,delta_nDCG@10,0.8657134286571344,False
0.054309889911643656,-0.0012869644428907961,0.10959546577163523,0.07849215078492151,200,1200,10000,10000,query_id within task,generator × query_type × task,entity_anchor_retention_v3,delta_Recall@10,0.5935406459354065,False
0.19148027662424266,0.13443107608744384,0.24942060925127713,9.999000099990002e-05,200,1200,10000,10000,query_id within task,generator × query_type × task,entity_anchor_retention_v3,delta_Recall@100,0.0011998800119988001,True
0.06523013737081917,0.010394752244732065,0.11996982681022769,0.0331966803319668,200,1200,10000,10000,query_id within task,generator × query_type × task,entity_anchor_retention_v3,delta_MRR@10,0.2987701229877012,False
0.04417972393174776,-0.009438776189431985,0.09648411728408715,0.14428557144285573,200,1200,10000,10000,query_id within task,generator × query_type × task,entity_anchor_retention_v3,delta_nDCG@10,0.8657134286571344,False
