generator,query_type,task,retention_signal,metric_delta,spearman_rho,ci95_low_query_bootstrap,ci95_high_query_bootstrap,p_raw_permutation,num_queries,bootstrap_iterations,permutation_iterations,p_holm_24,significant_holm_0.05
deepseek,hyde_style,contractnli,combined_anchor_retention_v3,delta_Recall@100,0.28517712856386673,0.06428987829385316,0.45788116107315124,0.035596440355964404,50,10000,10000,0.42715728427157285,False
deepseek,hyde_style,cuad,combined_anchor_retention_v3,delta_Recall@100,0.46726841303578415,0.2131857720519696,0.6779988347763353,0.0010998900109989002,50,10000,10000,0.017598240175982403,True
deepseek,hyde_style,maud,combined_anchor_retention_v3,delta_Recall@100,0.40325536282268176,0.13583115564341766,0.6207397604309461,0.004299570042995701,50,10000,10000,0.0644935506449355,False
deepseek,hyde_style,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,0.39193633499264846,0.10471895217135764,0.6273034873468241,0.0058994100589941,50,10000,10000,0.07839216078392161,False
deepseek,keyword_expansion,contractnli,combined_anchor_retention_v3,delta_Recall@100,0.2501383673526118,-0.07238223103314625,0.5559769189983366,0.047795220477952205,50,10000,10000,0.5257474252574743,False
deepseek,keyword_expansion,cuad,combined_anchor_retention_v3,delta_Recall@100,0.1874902897201793,-0.05723573425868419,0.42256692569766474,0.19208079192080793,50,10000,10000,1.0,False
deepseek,keyword_expansion,maud,combined_anchor_retention_v3,delta_Recall@100,0.16453569620087205,-0.1322917233420634,0.4373911749145823,0.26747325267473254,50,10000,10000,1.0,False
deepseek,keyword_expansion,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
deepseek,legal_rewrite,contractnli,combined_anchor_retention_v3,delta_Recall@100,0.6115033595996272,0.34250873129725457,0.9997917317482359,0.005599440055994401,50,10000,10000,0.07839216078392161,False
deepseek,legal_rewrite,cuad,combined_anchor_retention_v3,delta_Recall@100,0.3692143095819404,0.2766082537312314,0.7142857142857142,0.12148785121487851,50,10000,10000,1.0,False
deepseek,legal_rewrite,maud,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
deepseek,legal_rewrite,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,hyde_style,contractnli,combined_anchor_retention_v3,delta_Recall@100,-0.1477917691661314,-0.2922786626574389,-0.12151714300617109,0.7229277072292771,50,10000,10000,1.0,False
gpt,hyde_style,cuad,combined_anchor_retention_v3,delta_Recall@100,-0.13740274972071176,-0.3066655379719794,0.0206125145501666,0.398960103989601,50,10000,10000,1.0,False
gpt,hyde_style,maud,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,hyde_style,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,0.22313348684882553,0.20298528912070327,0.41470323532380116,0.12108789121087891,50,10000,10000,1.0,False
gpt,keyword_expansion,contractnli,combined_anchor_retention_v3,delta_Recall@100,-0.13674419022953344,-0.31199073016470436,0.027118911787065794,0.38916108389161086,50,10000,10000,1.0,False
gpt,keyword_expansion,cuad,combined_anchor_retention_v3,delta_Recall@100,0.03824632547722923,-0.1871072347698559,0.2625279157612455,0.7928207179282072,50,10000,10000,1.0,False
gpt,keyword_expansion,maud,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,keyword_expansion,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,0.24734393573565525,-0.11612669297260124,0.537109119582757,0.0898910108989101,50,10000,10000,0.8989101089891011,False
gpt,legal_rewrite,contractnli,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,legal_rewrite,cuad,combined_anchor_retention_v3,delta_Recall@100,0.0,-0.054922951373903406,0.054168864278451356,1.0,50,10000,10000,1.0,False
gpt,legal_rewrite,maud,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
gpt,legal_rewrite,privacy_qa,combined_anchor_retention_v3,delta_Recall@100,,,,,50,10000,10000,,False
