generator,query_type,task,num_queries,avg_path_anchor_count_v3,avg_entity_anchor_count_v3,avg_combined_anchor_count_v3,avg_path_anchor_retention_v3,avg_entity_anchor_retention_v3,avg_combined_anchor_retention_v3,zero_combined_retention_rate,delta_Recall_at_10,delta_Recall_at_100,delta_MRR_at_10,delta_nDCG_at_10
deepseek,hyde_style,contractnli,50,1.7,1.78,1.84,0.06802721088435373,0.06,0.06666666666666667,0.92,-0.37166666666666665,-0.525,-0.29533333333333334,-0.28033906233017525
deepseek,hyde_style,cuad,50,1.06,4.34,4.72,0.5651041666666666,0.41,0.42700000000000005,0.46,-0.045,-0.2257777777777778,0.0009444444444444466,-0.019432565723835452
deepseek,hyde_style,maud,50,3.12,3.7,3.7,0.264,0.26,0.26,0.72,-0.06305555555555556,-0.3483730158730159,-0.047357142857142855,-0.03877400682917955
deepseek,hyde_style,privacy_qa,50,1.0,1.0,1.0,0.8,0.8,0.8,0.2,-0.11349019607843137,-0.2781148459383753,-0.04004761904761905,-0.046947058730567155
deepseek,keyword_expansion,contractnli,50,1.7,1.78,1.84,0.9387755102040817,0.905,0.905,0.08,0.065,-0.04333333333333333,0.02565873015873015,0.051080037388532507
deepseek,keyword_expansion,cuad,50,1.06,4.34,4.72,0.96875,0.9313333333333333,0.933952380952381,0.02,0.06066666666666667,-0.05333333333333334,0.06080158730158731,0.044626714922156925
deepseek,keyword_expansion,maud,50,3.12,3.7,3.7,0.9666666666666667,0.9573333333333334,0.9573333333333334,0.0,0.13706349206349205,0.03488095238095238,0.10007936507936507,0.09835858267751815
deepseek,keyword_expansion,privacy_qa,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.018647058823529416,-0.19409523809523813,-0.059753968253968254,0.000993865726113506
deepseek,legal_rewrite,contractnli,50,1.7,1.78,1.84,0.9591836734693877,0.96,0.96,0.04,0.04,-0.05,-0.012619047619047623,0.004568403439376094
deepseek,legal_rewrite,cuad,50,1.06,4.34,4.72,1.0,0.995,0.995,0.0,0.007333333333333333,-0.005666666666666668,0.008801587301587302,0.0052774139205036714
deepseek,legal_rewrite,maud,50,3.12,3.7,3.7,1.0,1.0,1.0,0.0,-0.0016666666666666674,-0.034206349206349206,-0.0026746031746031755,-0.0033670945144262786
deepseek,legal_rewrite,privacy_qa,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.012661064425770308,-0.11470028011204482,-0.01249206349206349,0.005786812114810172
gpt,hyde_style,contractnli,50,1.7,1.78,1.84,0.004081632653061225,0.0,0.004,0.98,-0.42166666666666663,-0.58,-0.3391984126984127,-0.3174170204197225
gpt,hyde_style,cuad,50,1.06,4.34,4.72,0.0390625,0.0,0.006000000000000001,0.96,-0.15266666666666664,-0.4543333333333333,-0.06366666666666666,-0.08450640565676988
gpt,hyde_style,maud,50,3.12,3.7,3.7,0.0,0.0,0.0,1.0,-0.1272222222222222,-0.5300396825396825,-0.11235714285714286,-0.08579023317338441
gpt,hyde_style,privacy_qa,50,1.0,1.0,1.0,0.02,0.02,0.02,0.98,-0.2703473389355742,-0.6159075630252101,-0.1773253968253968,-0.1601629756186729
gpt,keyword_expansion,contractnli,50,1.7,1.78,1.84,0.014965986394557824,0.0,0.014666666666666668,0.96,-0.43666666666666665,-0.42333333333333334,-0.34805555555555556,-0.3259626768614274
gpt,keyword_expansion,cuad,50,1.06,4.34,4.72,0.20572916666666666,0.005,0.03019047619047619,0.84,-0.156,-0.406,-0.06255555555555556,-0.08496387377227023
gpt,keyword_expansion,maud,50,3.12,3.7,3.7,0.0,0.0,0.0,1.0,-0.12055555555555555,-0.4833730158730159,-0.10735714285714286,-0.08174808624337344
gpt,keyword_expansion,privacy_qa,50,1.0,1.0,1.0,0.94,0.94,0.94,0.06,-0.009504201680672269,-0.14985714285714286,0.04789682539682541,0.0376334628903784
gpt,legal_rewrite,contractnli,50,1.7,1.78,1.84,1.0,1.0,1.0,0.0,0.006666666666666665,-0.0033333333333333335,0.003968253968253967,0.014181445256605337
gpt,legal_rewrite,cuad,50,1.06,4.34,4.72,1.0,0.995,0.995,0.0,0.024,-0.002666666666666665,0.004222222222222226,0.006984750034135878
gpt,legal_rewrite,maud,50,3.12,3.7,3.7,1.0,1.0,1.0,0.0,0.03166666666666666,-0.01111111111111111,0.0535,0.02965434490812091
gpt,legal_rewrite,privacy_qa,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07485714285714286,-0.05668627450980392,0.061809523809523814,0.06910466706775485
